	Строка - 50; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бигбули ГШ/Пельмени/P004203/","Пельмени «Бигбули #МЕГАМАСЛИЩЕ со сливочным маслом» 0,7 сфера ТМ «Горячая штучка»"), в количестве 60
Перенос данных из Строка - 37; наименование - Пельмени Бульмени с говядиной и свининой Наваристые Горячая штучка ВЕС  ПОКОМ ==> 
	Строка - 83; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени вес ГШ/Пельмени/P003697/","Пельмени «Бульмени с говядиной и свининой Наваристые» Весовые Сфера ТМ «Горячая штучка» 5 кг"), в количестве 96
Перенос данных из Строка - 38; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка  флоу-пак сфера 0,4 кг  Поком ==> 
	Строка - 123; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004474/","Пельмени «Бульмени с говядиной и свининой» 0,4 Сфера ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 39; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка БУЛЬМЕНИ  флоу-пак сфера 0,7 кг.  Поком ==> 
	Строка - 124; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004345/","Пельмени «Бульмени с говядиной и свининой» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 108
Перенос данных из Строка - 40; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка  флоу-пак сфера 0,4 кг .  Поком ==> 
	Строка - 126; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004444/","Пельмени «Бульмени со сливочным маслом» Фикс.вес 0,4 ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 41; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка флоу-пак сфера 0,7 кг .  Поком ==> 
	Строка - 127; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004346/","Пельмени «Бульмени со сливочным маслом» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 168
Перенос данных из Строка - 42; наименование - Пельмени Домашние со сливочным маслом ТМ Зареченские  продукты флоу-пак сфера 0,7 кг.  Поком ==> 
	Строка - 288; наименование - Пельмени «Домашние со сливочным маслом» 0,7 сфера ТМ «Зареченские», в количестве 36
Перенос данных из Строка - 46; наименование - Пельмени Мясорубские ТМ Стародворье фоу-пак равиоли 0,7 кг.  Поком ==> 
	Строка - 216; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Мясорубская/Пельмени/P003355/","Пельмени Мясорубские Стародворье ЗПФ 0,7 Равиоли Стародворье"), в количестве 120
Перенос данных из Строка - 47; наименование - Пельмени Отборные из свинины и говядины 0,9 кг ТМ Стародворье ТС Медвежье ушко  ПОКОМ ==> 
	Строка - 234; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежье ушко/Пельмени/P003004/","Пельмени Отборные из свинины и говядины Медвежье ушко 0,9 Псевдозащип Стародворье"), в количестве 12
Перенос данных из Строка - 48; наименование - Пельмени Отборные с говядиной 0,9 кг НОВА ТМ Стародворье ТС Медвежье ушко  ПОКОМ ==> 
	Строка - 236; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежье ушко/Пельмени/P003005/","Пельмени Отборные из говядины Медвежье ушко 0,9 Псевдозащип Стародворье"), в количестве 36
Перенос данных из Строка - 49; наименование - Пельмени С говядиной и свининой, ВЕС, ТМ Славница сфера пуговки  ПОКОМ ==> 
	Строка - 184; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/No Name/No Name ЗПФ/Пельмени/P004472/","Пельмени «Пуговки с говядиной и свининой» Весовые Сфера ТМ «No Name» 5 кг"), в количестве 252
Перенос данных из Строка - 50; наименование - Пельмени Со свининой и говядиной ТМ Особый рецепт Любимая ложка 1,0 кг  ПОКОМ ==> 
	Строка - 270; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Особый рецепт/Любимая ложка/Пельмени/P004081/","Пельмени Со свининой и говядиной Любимая ложка 1,0 Равиоли Особый рецепт"), в количестве 288
Перенос данных из Строка - 56; наименование - Хотстеры ТМ Горячая штучка ТС Хотстеры 0,25 кг зам  ПОКОМ ==> 
	Строка - 143; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P004489/","Снеки «Хотстеры» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 56
Перенос данных из Строка - 57; наименование - Хотстеры с сыром ТМ Горячая штучка ТС Хотстеры 0,25кг.  Поком ==> 
	Строка - 142; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Хотстеры/Снеки/P004205/","Снеки «Хотстеры с сыром» ф/в 0,25 ТМ «Горячая штучка»"), в количестве 28
Перенос данных из Строка - 58; наименование - Хрустящие крылышки ТМ Горячая штучка 0,3 кг зам  ПОКОМ ==> 
	Строка - 96; наименование - Крылья «Хрустящие крылышки» Фикс.вес 0,3 Пакет ТМ «Горячая штучка», в количестве 56
Перенос данных из Строка - 59; наименование - Хрустящие крылышки ТМ Зареченские ТС Зареченские продукты.   Поком ==> 
	Строка - 293; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Крылья/P003488/","Крылья «Хрустящие крылышки» Весовой ТМ «Зареченские» 1,8 кг"), в количестве 126
Перенос данных из Строка - 60; наименование - Хрустящие крылышки острые к пиву ТМ Горячая штучка 0,3кг зам  ПОКОМ ==> 
	Строка - 98; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Крылышки ГШ/Крылья/P004099/","Крылья Крылышки острые к пиву Базовый ассортимент Фикс.вес 0,3 Лоток Горячая штучка"), в количестве 70
Перенос данных из Строка - 63; наименование - Чебупицца Пепперони ТМ Горячая штучка ТС Чебупицца 0.25кг зам  ПОКОМ ==> 
	Строка - 137; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004486/","Снеки «Чебупицца Пепперони» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 84
Перенос данных из Строка - 64; наименование - Чебупицца курочка по-итальянски Горячая штучка 0,25 кг зам  ПОКОМ ==> 
	Строка - 136; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебупицца/Снеки/P004484/","Снеки «Чебупицца курочка По-итальянски» Фикс.вес 0,25 Пакет ТМ «Горячая штучка»"), в количестве 70
Перенос данных из Строка - 66; наименование - Чебуреки сочные ТМ Зареченские ТС Зареченские продукты.  Поком ==> 
	Строка - 303; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Зареченские продукты/Зареченские продукты/Чебуреки/P003476/","Чебуреки «Сочные» Весовые ТМ «Зареченские» 5 кг"), в количестве 312
Перенос данных из Строка - 67; наименование - Чебуречище горячая штучка 0,14кг Поком ==> 
	Строка - 117; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Чебуреки ГШ/Чебуреки/P004122/","Чебуречище Базовый ассортимент Штучка 0,14 Пленка Горячая штучка"), в количестве 36

Количество коробок с  продукцией из первого файла составляет: 3178 шт.
Количество коробок продукции из второго файла составляет: 3178 шт.
