Обнаружены следующие ошибки:
Объект - Строка - 24; наименование - Ветчина Балыкбургская Баварушка в количестве 15 НЕ НАЙДЕН.
нет в бланке
только 0,42

##################################################

Перенос данных из Строка - 1; наименование - 219  Колбаса Докторская Особая ТМ Особый рецепт, ВЕС  ПОКОМ, кг ==> 
	Строка - 419; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004252/","Вареные колбасы «Филейная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 800
Перенос данных из Строка - 2; наименование - 230  Колбаса Молочная Особая ТМ Особый рецепт, п/а, ВЕС. ПОКОМ, кг ==> 
	Строка - 414; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Вареные колбасы/P004256/","Вареные колбасы «Молочная» Весовой п/а ТМ «Особый рецепт» большой батон"), в количестве 150
Перенос данных из Строка - 3; наименование - 201  Ветчина Нежная ТМ Особый рецепт, (2,5кг), ПОКОМ, кг ==> 
	Строка - 428; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая/Ветчины/P002555/","Ветчины Нежная Особая Особая Весовые П/а Особый рецепт большой батон"), в количестве 400
Перенос данных из Строка - 4; наименование - 005 Колбаса Докторская ГОСТ, Вязанка вектор,ВЕС. ПОКОМ, кг ==> 
	Строка - 48; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/ГОСТ/Вареные колбасы/P003011/","Вареные колбасы Докторская ГОСТ Вязанка Весовые Вектор Вязанка"), в количестве 40
Перенос данных из Строка - 5; наименование - 023  Колбаса Докторская ГОСТ, Вязанка вектор, 0,4 кг, ПОКОМ, шт ==> 
	Строка - 51; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/ГОСТ/Вареные колбасы/P003008/","Вареные колбасы Докторская ГОСТ Вязанка Фикс.вес 0,4 Вектор Вязанка"), в количестве 4
Перенос данных из Строка - 6; наименование - 002   Колб. Молоч. стародворская, Вязанка вектор, ВЕС. ПОКОМ, кг ==> 
	Строка - 107; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Вязанка/Молокуша/Вареные колбасы/P003239/","Вареные колбасы Молокуша Вязанка Вес п/а Вязанка"), в количестве 50
Перенос данных из Строка - 7; наименование - 200  Ветчина Дугушка ТМ Стародворье, вектор в/у    ПОКОМ, кг ==> 
	Строка - 567; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Ветчины/P003146/","Ветчины Дугушка Дугушка Вес б/о Дугушка"), в количестве 100
Перенос данных из Строка - 8; наименование - 236  Колбаса Рубленая ЗАПЕЧ. Дугушка ТМ Стародворье, вектор, в/к    ПОКОМ, кг ==> 
	Строка - 573; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Копченые колбасы/P003636/","В/к колбасы «Рубленая Запеченная» Весовые Вектор ТМ «Дугушка»"), в количестве 120
Перенос данных из Строка - 9; наименование - 242 Колбаса Сервелат ЗАПЕЧ.Дугушка ТМ Стародворье, вектор, в/к ПОКОМ, кг ==> 
	Строка - 575; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Копченые колбасы/P003634/","В/к колбасы «Сервелат Запеченный» Весовые Вектор ТМ «Дугушка»"), в количестве 100
Перенос данных из Строка - 10; наименование - 234  Колбаса Нежная, п/а, ВЕС, ТМ КОЛБАСНЫЙ СТАНДАРТ ВсхЗв ПОКОМ, кг ==> 
