ООО НВ ЮТс-00696-25 18.02.2025 Гулаков 9853кг.pdf
('SU003599шт', ['140,00', '235.200'], '840,000')
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU002760шт', ['5,00', '8.400'], '30,000')
('SU002903шт', ['135,00', '226.800'], '810,000')
('SU002904шт', ['140,00', '235.200'], '840,000')
('SU002708шт', ['84,00', '624.120'], '672,000')
('SU002838шт', ['168,00', '1.248.240'], '1_344,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU002563шт', ['140,00', '534.800'], '1_680,000')
('SU002564шт', ['140,00', '534.800'], '1_680,000')
('SU003608шт', ['70,00', '267.400'], '840,000')
('SU003609шт', ['140,00', '534.800'], '1_680,000')
('SU003594шт', ['70,00', '267.400'], '840,000')
('SU003604шт', ['140,00', '534.800'], '1_680,000')
('SU002293шт', ['70,00', '309.400'], '980,000')
('SU002627шт', ['168,00', '1.248.240'], '1_344,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003384шт', ['140,00', '450.800'], '1_680,000')
('SU003576шт', ['140,00', '450.800'], '1_680,000')
('SU000194шт', ['70,00', '225.400'], '840,000')
('SU000195шт', ['70,00', '225.400'], '840,000')
('SU002668шт', ['280,00', '520.800'], '1_680,000')

