ООО КСК ТРЕЙД Тс055447-24 19.03.2024 Балабин 10533кг.pdf
('SU002828', ['3,00', '34.115'], '32,825')
('SU002828', ['1,00', '11.293'], '10,813')
('SU002814', ['26,00', '75.400'], '156,000')
('SU002814', ['11,00', '31.900'], '66,000')
('SU002829', ['10,00', '114.770'], '110,020')
('SU002815', ['50,00', '237.000'], '500,000')
('SU000722', ['9,00', '101.821'], '97,501')
('SU002928', ['3,00', '36.195'], '34,755')
('SU001485', ['20,00', '84.800'], '200,000')
('SU002816', ['26,00', '123.240'], '260,000')
('SU002816', ['24,00', '113.040'], '240,000')
('SU002983', ['9,00', '30.600'], '72,000')
('SU002734', ['70,00', '331.800'], '700,000')
('SU002985', ['8,00', '24.448'], '64,000')
('SU001523', ['12,00', '112.450'], '105,826')
('SU001351', ['4,00', '35.378'], '33,218')
('SU002984', ['13,00', '37.648'], '104,000')
('SU001718', ['50,00', '148.000'], '300,000')
('SU001354', ['5,00', '16.360'], '30,000')
('SU002367', ['9,00', '20.592'], '54,000')
('SU001721', ['18,00', '161.677'], '151,741')
('SU001720', ['84,00', '248.640'], '504,000')
('SU002756', ['12,00', '54.312'], '51,444')
('SU002876', ['5,00', '22.616'], '21,376')
('SU002847', ['17,00', '77.638'], '73,728')
('SU002660', ['34,00', '76.432'], '204,000')
('SU002877', ['34,00', '76.432'], '204,000')
('SU002848', ['50,00', '111.800'], '300,000')
('SU002824', ['3,00', '33.831'], '32,391')
('SU002941', ['17,00', '86.481'], '81,891')
('SU002943', ['12,00', '62.102'], '58,862')
('SU002945', ['22,00', '112.821'], '106,881')
('SU002947', ['17,00', '86.867'], '82,277')
('SU002725', ['19,00', '173.860'], '163,372')
('SU002801', ['67,00', '178.220'], '402,000')
('SU002799', ['109,00', '289.286'], '654,000')
('SU002842', ['67,00', '178.220'], '402,000')
('SU002618', ['134,00', '356.440'], '804,000')
('SU002686', ['30,00', '79.440'], '180,000')
('SU002844', ['50,00', '133.000'], '300,000')
('SU002758', ['10,00', '26.600'], '60,000')
('SU002759', ['10,00', '26.600'], '60,000')
('SU003265', ['4,00', '47.790'], '46,070')
('SU002617', ['66,00', '148.368'], '396,000')
('SU002616', ['1,00', '4.240'], '10,000')
('SU002699', ['7,00', '12.670'], '42,000')
('SU002619', ['17,00', '38.080'], '102,000')
('SU002723', ['5,00', '11.170'], '30,000')
('SU002252', ['7,00', '14.336'], '42,000')
('SU003167', ['250,00', '591.500'], '1_500,000')
('SU003168', ['100,00', '236.000'], '600,000')
('SU002173', ['9,00', '22.860'], '54,000')
('SU000251', ['115,00', '1.854.760'], '1_800,135')
('SU001578', ['33,00', '527.830'], '512,155')
('SU000102', ['33,00', '530.665'], '514,990')
('SU001989', ['5,00', '26.050'], '50,000')
('SU000256', ['2,00', '10.420'], '20,000')
('SU000126', ['80,00', '1.235.586'], '1_201,986')
('SU000246', ['4,00', '34.375'], '32,167')
('SU002073', ['5,00', '63.055'], '60,655')
('SU002476', ['7,00', '20.300'], '42,000')
('SU002613', ['12,00', '54.608'], '51,704')
('SU003035', ['50,00', '97.000'], '300,000')
('SU002538', ['17,00', '38.216'], '102,000')
('SU002602', ['17,00', '38.114'], '102,000')
('SU002606', ['25,00', '56.200'], '150,000')
('SU002612', ['12,00', '54.312'], '51,552')
('SU003279', ['9,00', '13.140'], '108,000')
('SU003314', ['5,00', '15.900'], '100,000')
('SU002011', ['10,00', '56.490'], '52,890')
('SU002094', ['10,00', '56.450'], '52,850')
('SU002182', ['2,00', '11.290'], '10,570')
('SU002010', ['19,00', '106.790'], '99,950')
('SU002631', ['14,00', '53.760'], '84,000')
('SU002035', ['11,00', '61.990'], '58,030')
('SU002150', ['12,00', '67.600'], '63,280')
('SU002158', ['12,00', '67.949'], '63,389')
('SU002151', ['11,00', '61.829'], '57,869')
('SU002916', ['4,00', '15.360'], '24,000')
('SU002919', ['2,00', '7.620'], '12,000')
('SU002918', ['5,00', '19.050'], '30,000')
('SU002808', ['3,00', '37.060'], '35,980')
('SU002655', ['44,00', '380.082'], '355,794')

