ООО КСК ТРЕЙД Тс129766-24 22.06.2024 Матлаш 17698кг.pdf
('SU002828кг', ['10,00', '114.170'], '109,570')
('SU002814шт', ['84,00', '243.600'], '504,000')
('SU002829кг', ['19,00', '216.460'], '207,910')
('SU002815шт', ['96,00', '452.160'], '960,000')
('SU000722кг', ['13,00', '157.497'], '151,257')
('SU002830кг', ['28,00', '318.491'], '305,051')
('SU002928кг', ['6,00', '71.131'], '68,251')
('SU000125шт', ['10,00', '32.000'], '60,000')
('SU001485шт', ['50,00', '212.000'], '500,000')
('SU002816шт', ['11,00', '52.140'], '110,000')
('SU002816шт', ['89,00', '419.190'], '890,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002734шт', ['150,00', '711.000'], '1_500,000')
('SU002985шт', ['14,00', '42.784'], '112,000')
('SU001523кг', ['15,00', '140.782'], '132,502')
('SU001351кг', ['4,00', '33.170'], '31,010')
('SU002984шт', ['20,00', '57.920'], '160,000')
('SU001718шт', ['117,00', '346.320'], '702,000')
('SU001354шт', ['10,00', '32.600'], '60,000')
('SU002835кг', ['5,00', '43.452'], '40,752')
('SU002367шт', ['10,00', '22.880'], '60,000')
('SU001721кг', ['46,00', '428.442'], '403,050')
('SU001720шт', ['200,00', '592.000'], '1_200,000')
('SU003336шт', ['4,00', '8.288'], '24,000')
('SU002756кг', ['24,00', '108.761'], '103,097')
('SU002876кг', ['8,00', '36.903'], '34,919')
('SU002847кг', ['12,00', '54.903'], '51,927')
('SU002660шт', ['67,00', '150.616'], '402,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['67,00', '149.812'], '402,000')
('SU002941кг', ['24,00', '122.738'], '116,258')
('SU002943кг', ['17,00', '86.314'], '81,724')
('SU002945кг', ['32,00', '161.671'], '153,031')
('SU002947кг', ['22,00', '112.787'], '106,847')
('SU002725кг', ['30,00', '276.423'], '259,863')
('SU002801шт', ['84,00', '223.440'], '504,000')
('SU002799шт', ['150,00', '398.100'], '900,000')
('SU002842шт', ['117,00', '311.220'], '702,000')
('SU002618шт', ['83,00', '220.780'], '498,000')
('SU002686шт', ['42,00', '112.224'], '252,000')
('SU002844шт', ['100,00', '266.000'], '600,000')
('SU002759шт', ['14,00', '37.240'], '84,000')
('SU002758шт', ['17,00', '45.220'], '102,000')
('SU003265кг', ['6,00', '72.080'], '69,380')
('SU003266шт', ['5,00', '21.200'], '50,000')
('SU002617шт', ['100,00', '224.800'], '600,000')
('SU003273кг', ['9,00', '107.580'], '103,440')
('SU003271кг', ['10,00', '119.905'], '115,405')
('SU003274шт', ['6,00', '25.440'], '60,000')
('SU003272шт', ['20,00', '85.000'], '200,000')
('SU002699шт', ['25,00', '45.250'], '150,000')
('SU002619шт', ['25,00', '56.000'], '150,000')
('SU002723шт', ['25,00', '55.850'], '150,000')
('SU001051кг', ['6,00', '50.952'], '47,640')
('SU000227кг', ['51,00', '438.782'], '410,630')
('SU001430кг', ['13,00', '107.410'], '100,234')
('SU002368шт', ['25,00', '55.750'], '500,000')
('SU002252шт', ['9,00', '18.432'], '54,000')
('SU003167шт', ['300,00', '704.400'], '1_800,000')
('SU003168шт', ['149,00', '351.640'], '894,000')
('SU002173шт', ['10,00', '25.400'], '60,000')
('SU003420кг', ['7,00', '107.370'], '104,010')
('SU003420кг', ['96,00', '1.550.570'], '1_504,970')
('SU003422кг', ['84,00', '1.349.640'], '1_309,740')
('SU003423кг', ['72,00', '1.156.430'], '1_122,230')
('SU003419шт', ['5,00', '26.050'], '50,000')
('SU000126кг', ['80,00', '1.236.082'], '1_197,682')
('SU002027шт', ['3,00', '12.720'], '30,000')
('SU000246кг', ['9,00', '72.624'], '67,656')
('SU002287кг', ['11,00', '93.229'], '87,157')
('SU002073кг', ['5,00', '63.567'], '61,167')
('SU002074кг', ['3,00', '26.359'], '24,703')
('SU002476шт', ['5,00', '14.500'], '30,000')
('SU002614кг', ['15,00', '68.334'], '64,794')
('SU002613кг', ['17,00', '77.184'], '73,172')
('SU003035шт', ['84,00', '162.960'], '504,000')
('SU002538шт', ['33,00', '74.184'], '198,000')
('SU002602шт', ['17,00', '38.114'], '102,000')
('SU002606шт', ['34,00', '76.432'], '204,000')
('SU003277шт', ['10,00', '13.400'], '200,000')
('SU003278шт', ['10,00', '13.400'], '200,000')
('SU003281шт', ['9,00', '13.140'], '108,000')
('SU002612кг', ['18,00', '81.097'], '76,201')
('SU003280шт', ['5,00', '6.700'], '100,000')
('SU003279шт', ['9,00', '13.140'], '108,000')
('SU003314шт', ['5,00', '15.900'], '100,000')
('SU003345шт', ['25,00', '34.000'], '150,000')
('SU003344шт', ['25,00', '34.000'], '150,000')
('SU003342шт', ['25,00', '34.000'], '150,000')
('SU002011кг', ['16,00', '90.290'], '84,530')
('SU002094кг', ['35,00', '197.220'], '184,970')
('SU002010кг', ['35,00', '197.990'], '185,740')
('SU002632шт', ['27,00', '103.680'], '162,000')
('SU002631шт', ['27,00', '103.680'], '162,000')
('SU002035кг', ['19,00', '107.120'], '100,470')
('SU002150кг', ['19,00', '106.970'], '100,320')
('SU002158кг', ['16,00', '90.332'], '84,392')
('SU002151кг', ['29,00', '163.729'], '153,289')
('SU002916шт', ['8,00', '30.720'], '48,000')
('SU002919шт', ['7,00', '26.670'], '42,000')
('SU002918шт', ['17,00', '64.770'], '102,000')
('SU002808кг', ['3,00', '37.385'], '36,035')
('SU002655кг', ['74,00', '646.287'], '605,439')

