ООО КСК ТРЕЙД Тс013113-24 21.01.2024 Момот 17407кг.pdf
('SU002828', ['5,00', '56.759'], '54,359')
('SU002814', ['50,00', '145.000'], '300,000')
('SU002829', ['28,00', '326.295'], '312,995')
('SU002815', ['80,00', '376.800'], '800,000')
('SU000722', ['11,00', '130.920'], '125,860')
('SU002830', ['28,00', '318.310'], '304,870')
('SU002928', ['5,00', '56.100'], '53,900')
('SU002928', ['4,00', '48.120'], '46,360')
('SU000125', ['12,00', '38.400'], '72,000')
('SU001485', ['30,00', '127.200'], '300,000')
('SU002816', ['80,00', '376.800'], '800,000')
('SU002983', ['25,00', '85.000'], '200,000')
('SU002734', ['80,00', '379.200'], '800,000')
('SU002985', ['7,00', '21.392'], '56,000')
('SU001523', ['15,00', '137.064'], '128,784')
('SU001351', ['10,00', '89.581'], '84,181')
('SU002984', ['25,00', '72.400'], '200,000')
('SU001718', ['67,00', '198.320'], '402,000')
('SU001354', ['20,00', '65.440'], '120,000')
('SU002835', ['10,00', '93.324'], '87,924')
('SU001721', ['25,00', '216.459'], '202,659')
('SU001721', ['27,00', '251.916'], '237,012')
('SU001720', ['134,00', '396.640'], '804,000')
('SU002756', ['12,00', '54.215'], '51,239')
('SU002876', ['10,00', '45.647'], '43,215')
('SU002847', ['24,00', '109.345'], '103,393')
('SU002660', ['67,00', '150.616'], '402,000')
('SU002877', ['67,00', '150.616'], '402,000')
('SU002848', ['84,00', '187.824'], '504,000')
('SU002941', ['32,00', '164.315'], '155,729')
('SU002943', ['31,00', '159.423'], '151,611')
('SU002945', ['31,00', '160.038'], '151,668')
('SU002947', ['39,00', '198.054'], '188,226')
('SU002725', ['42,00', '385.823'], '362,639')
('SU002801', ['167,00', '444.220'], '1_002,000')
('SU002799', ['234,00', '621.036'], '1_404,000')
('SU002842', ['167,00', '444.220'], '1_002,000')
('SU002618', ['169,00', '449.540'], '1_014,000')
('SU002618', ['31,00', '82.460'], '186,000')
('SU002686', ['59,00', '156.232'], '354,000')
('SU002844', ['100,00', '266.000'], '600,000')
('SU002758', ['24,00', '63.840'], '144,000')
('SU002759', ['17,00', '45.220'], '102,000')
('SU002617', ['117,00', '263.016'], '702,000')
('SU002579', ['4,00', '8.992'], '24,000')
('SU003167', ['200,00', '473.200'], '1_200,000')
('SU003168', ['167,00', '394.120'], '1_002,000')
('SU001051', ['9,00', '77.873'], '72,905')
('SU000227', ['20,00', '169.021'], '157,981')
('SU002252', ['5,00', '10.240'], '30,000')
('SU002173', ['10,00', '25.400'], '60,000')
('SU002092', ['7,00', '19.670'], '105,000')
('SU000251', ['129,00', '2.078.445'], '2_017,170')
('SU001578', ['66,00', '1.047.090'], '1_015,740')
('SU000102', ['84,00', '1.345.850'], '1_305,950')
('SU001989', ['15,00', '78.150'], '150,000')
('SU000126', ['88,00', '1.356.490'], '1_314,650')
('SU002027', ['2,00', '8.480'], '20,000')
('SU000246', ['9,00', '79.056'], '74,088')
('SU002287', ['5,00', '41.662'], '38,902')
('SU002073', ['5,00', '62.525'], '60,125')
('SU002476', ['9,00', '26.100'], '54,000')
('SU002614', ['27,00', '121.594'], '114,898')
('SU002613', ['15,00', '68.155'], '64,255')
('SU003035', ['84,00', '162.960'], '504,000')
('SU002538', ['59,00', '132.632'], '354,000')
('SU002606', ['25,00', '56.200'], '150,000')
('SU003280', ['10,00', '13.400'], '200,000')
('SU003277', ['10,00', '13.400'], '200,000')
('SU003278', ['10,00', '13.400'], '200,000')
('SU002612', ['12,00', '54.430'], '51,454')
('SU002011', ['19,00', '106.050'], '99,210')
('SU002094', ['36,00', '202.260'], '189,300')
('SU002182', ['5,00', '27.770'], '25,970')
('SU002010', ['26,00', '144.845'], '135,485')
('SU002632', ['17,00', '65.280'], '102,000')
('SU002631', ['20,00', '76.800'], '120,000')
('SU002035', ['22,00', '123.965'], '116,045')
('SU002150', ['23,00', '129.480'], '121,200')
('SU002158', ['21,00', '118.741'], '111,181')
('SU002151', ['42,00', '236.979'], '221,859')
('SU002916', ['4,00', '15.360'], '24,000')
('SU002919', ['4,00', '15.240'], '24,000')
('SU002918', ['4,00', '15.240'], '24,000')
('SU002808', ['5,00', '62.760'], '60,510')
('SU002655', ['69,00', '598.277'], '560,189')

