ООО КСК ТРЕЙД Тс013770-25 21.01.2025 Матлаш 17337кг.pdf
('SU000722кг', ['12,00', '135.177'], '129,417')
('SU001485шт', ['70,00', '294.700'], '700,000')
('SU002829кг', ['24,00', '268.185'], '257,745')
('SU002815шт', ['90,00', '423.900'], '900,000')
('SU002828кг', ['8,00', '90.086'], '86,246')
('SU002814шт', ['50,00', '144.000'], '300,000')
('SU002835кг', ['3,00', '27.269'], '25,325')
('SU002830кг', ['19,00', '212.748'], '203,628')
('SU002816шт', ['120,00', '565.200'], '1_200,000')
('SU001523кг', ['17,00', '150.046'], '140,662')
('SU001718шт', ['35,00', '102.900'], '210,000')
('SU001718шт', ['182,00', '535.080'], '1_092,000')
('SU002928кг', ['9,00', '109.345'], '105,025')
('SU002734шт', ['120,00', '565.200'], '1_200,000')
('SU002833кг', ['5,00', '56.783'], '54,608')
('SU001721кг', ['63,00', '592.310'], '557,534')
('SU001720шт', ['18,00', '52.920'], '108,000')
('SU001720шт', ['182,00', '535.080'], '1_092,000')
('SU003336шт', ['29,00', '59.508'], '174,000')
('SU002367шт', ['14,00', '31.080'], '84,000')
('SU002983шт', ['29,00', '98.600'], '232,000')
('SU002985шт', ['20,00', '61.120'], '160,000')
('SU003534кг', ['8,00', '35.026'], '33,346')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002756кг', ['17,00', '76.823'], '72,641')
('SU002876кг', ['8,00', '36.427'], '34,363')
('SU002847кг', ['20,00', '90.416'], '85,376')
('SU002660шт', ['59,00', '132.632'], '354,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['84,00', '187.824'], '504,000')
('SU002941кг', ['24,00', '123.118'], '116,854')
('SU002943кг', ['17,00', '86.684'], '82,094')
('SU002945кг', ['38,00', '194.906'], '184,646')
('SU002947кг', ['19,00', '97.770'], '93,096')
('SU002944шт', ['34,00', '66.028'], '204,000')
('SU002942шт', ['20,00', '38.840'], '120,000')
('SU002946шт', ['22,00', '42.724'], '132,000')
('SU002948шт', ['17,00', '33.014'], '102,000')
('SU002725кг', ['18,00', '169.820'], '159,884')
('SU002842шт', ['142,00', '374.880'], '852,000')
('SU002618шт', ['119,00', '314.874'], '714,000')
('SU002618шт', ['31,00', '81.840'], '186,000')
('SU002686шт', ['50,00', '129.540'], '300,000')
('SU002844шт', ['134,00', '353.760'], '804,000')
('SU002759шт', ['17,00', '44.880'], '102,000')
('SU002758шт', ['19,00', '50.025'], '114,000')
('SU003273кг', ['2,00', '24.356'], '23,486')
('SU003271кг', ['5,00', '60.152'], '57,977')
('SU003274шт', ['9,00', '37.890'], '90,000')
('SU003272шт', ['16,00', '67.360'], '160,000')
('SU002801шт', ['54,00', '139.620'], '324,000')
('SU002799шт', ['200,00', '526.800'], '1_200,000')
('SU002617шт', ['134,00', '301.232'], '804,000')
('SU001051кг', ['5,00', '42.981'], '40,221')
('SU000227кг', ['34,00', '282.123'], '263,355')
('SU001430кг', ['2,00', '17.793'], '16,689')
('SU001921кг', ['7,00', '22.402'], '20,778')
('SU002092шт', ['27,00', '75.870'], '405,000')
('SU001869шт', ['174,00', '488.940'], '2_610,000')
('SU002841шт', ['50,00', '110.000'], '1_000,000')
('SU002368шт', ['60,00', '132.000'], '1_200,000')
('SU002252шт', ['12,00', '24.336'], '72,000')
('SU003167шт', ['484,00', '1.129.608'], '2_904,000')
('SU003168шт', ['167,00', '388.776'], '1_002,000')
('SU003422кг', ['67,00', '1.036.981'], '1_004,821')
('SU003423кг', ['34,00', '523.995'], '507,675')
('SU000251кг', ['26,00', '417.489'], '405,009')
('SU003420кг', ['67,00', '1.037.041'], '1_004,881')
('SU003421шт', ['4,00', '20.840'], '40,000')
('SU000126кг', ['67,00', '1.034.542'], '1_002,382')
('SU000246кг', ['3,00', '28.294'], '26,350')
('SU002287кг', ['2,00', '19.334'], '18,230')
('SU003425кг', ['5,00', '63.187'], '60,787')
('SU002074кг', ['5,00', '43.626'], '40,386')
('SU002614кг', ['2,00', '11.470'], '10,930')
('SU002613кг', ['5,00', '22.431'], '21,141')
('SU002538шт', ['9,00', '20.232'], '54,000')
('SU002602шт', ['10,00', '22.480'], '60,000')
('SU002606шт', ['25,00', '56.200'], '150,000')
('SU002604шт', ['4,00', '8.968'], '24,000')
('SU003345шт', ['5,00', '6.800'], '30,000')
('SU003344шт', ['4,00', '5.440'], '24,000')
('SU003505шт', ['17,00', '31.280'], '102,000')
('SU002011кг', ['10,00', '55.783'], '52,183')
('SU002010кг', ['29,00', '165.169'], '154,729')
('SU002634кг', ['19,00', '103.100'], '96,260')
('SU002632шт', ['25,00', '95.250'], '150,000')
('SU002631шт', ['33,00', '166.320'], '264,000')
('SU002035кг', ['9,00', '50.499'], '47,259')
('SU002150кг', ['12,00', '67.826'], '63,506')
('SU002158кг', ['10,00', '56.228'], '52,628')
('SU002151кг', ['24,00', '134.832'], '126,192')
('SU002916шт', ['15,00', '57.150'], '90,000')
('SU002919шт', ['4,00', '15.240'], '24,000')
('SU002918шт', ['16,00', '80.160'], '128,000')
('SU002655кг', ['125,00', '1.072.665'], '1_009,290')

