ООО НВ Тс210610-24 30.09.2024 Митин 11804кг.pdf
('SU002763шт', ['378,00', '635.040'], '2_268,000')
('SU002345шт', ['168,00', '1.053.360'], '1_344,000')
('SU002624шт', ['168,00', '1.248.240'], '1_344,000')
('SU002563шт', ['70,00', '267.400'], '840,000')
('SU000419шт', ['140,00', '534.800'], '1_680,000')
('SU002559шт', ['140,00', '534.800'], '1_680,000')
('SU002559шт', ['70,00', '267.400'], '840,000')
('SU002570шт', ['84,00', '278.040'], '1_848,000')
('SU002627шт', ['168,00', '1.248.240'], '1_344,000')
('SU002623шт', ['252,00', '2.336.040'], '2_016,000')
('SU002562шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['70,00', '225.400'], '840,000')
('SU002561шт', ['210,00', '676.200'], '2_520,000')
('SU002565шт', ['140,00', '450.800'], '1_680,000')
('SU000194шт', ['140,00', '450.800'], '1_680,000')
('SU002516шт', ['140,00', '450.800'], '1_680,000')
('SU003001шт', ['140,00', '450.800'], '1_680,000')
('SU002920шт', ['84,00', '489.720'], '672,000')
('SU002068шт', ['84,00', '624.120'], '672,000')
('SU002268шт', ['84,00', '439.320'], '420,000')

